Feature,CompGroup.C.,BaseGroup.B.,NumSamplesInC,NumSamplesInB,SignedFC,Tstatistic,Parameter,Pvalue,X95.Conf.Int.1,X95.Conf.Int.2,MeanC,MeanB,NullValue.DifferenceInMeans,Alternative,Method,FDR
TMEM158,SeverAD,Control,7,8,-1.78569600687662,-3.31173950518089,11.3781541257503,0.00663719336879824,-1.39017026336973,-0.282802736630269,4.213449,5.0499355,0,two.sided,Welch Two Sample t-test,0.675445034777526
GTF2IRD1,SeverAD,Control,7,8,1.48478418606271,3.29726952770088,11.5913351780693,0.00665504409945617,0.19195512336687,0.948551376633129,5.256987,4.68673375,0,two.sided,Welch Two Sample t-test,0.675445034777526
CTNNA1,SeverAD,Control,7,8,1.62150941649261,3.2843617766046,11.7863941598641,0.00667355539587848,0.233799167220418,1.1608756365653,3.84798897514286,3.15065157325,0,two.sided,Welch Two Sample t-test,0.675445034777526
UBE2H,SeverAD,Control,7,8,1.26583043499923,3.24805035917604,12.4533139899323,0.00668013195412804,0.112871162061098,0.567297159367473,6.07317728571429,5.733093125,0,two.sided,Welch Two Sample t-test,0.675445034777526
AGPAT3,SeverAD,Control,7,8,-1.36835481956574,-3.3758685609953,10.3783195639059,0.0066985034470084,-0.749594165556155,-0.155290584443844,5.916191,6.368633375,0,two.sided,Welch Two Sample t-test,0.675445034777526
MKRN1,SeverAD,Control,7,8,-2.27082070895185,-3.39214073820923,10.160004537052,0.00671011254244957,-1.9587558203026,-0.407671786840253,5.37552057142857,6.558734375,0,two.sided,Welch Two Sample t-test,0.675445034777526
IPO7,SeverAD,Control,7,8,-1.7684025870884,-3.98080852993486,6.22737546363473,0.006746626985067,-1.32354510989973,-0.321348390100267,4.952666,5.77511275,0,two.sided,Welch Two Sample t-test,0.675445034777526
NLK,SeverAD,Control,7,8,-1.49339087550141,-3.40472576462988,9.94323470061411,0.00677195158830886,-0.957530191536778,-0.199653451320367,8.55060542857143,9.12919725,0,two.sided,Welch Two Sample t-test,0.675445034777526
YIPF4,SeverAD,Control,7,8,-1.26681730675739,-3.23839298943672,12.4965834200756,0.00677537304207087,-0.569768175824918,-0.112648788460797,2.14026514285714,2.481473625,0,two.sided,Welch Two Sample t-test,0.675445034777526
GALR3,SeverAD,Control,7,8,1.27989334101327,3.23799551005559,12.4874526420714,0.00678627601467025,0.11749216204584,0.594555016525588,3.11857871428571,2.762555125,0,two.sided,Welch Two Sample t-test,0.675445034777526
SAMD12,SeverAD,Control,7,8,-2.65317543110791,-3.27666149342796,11.7236241761544,0.00681336066114861,-2.3462354438168,-0.469204699040342,5.76099542857143,7.1687155,0,two.sided,Welch Two Sample t-test,0.675445034777526
CNOT9,SeverAD,Control,7,8,-1.4317140291153,-3.26167652026083,11.9716809799571,0.00682695888724642,-0.863688728434248,-0.171797985851466,3.77000114285714,4.2877445,0,two.sided,Welch Two Sample t-test,0.675445034777526
STXBP5,SeverAD,Control,7,8,-1.52059271638442,-3.47111732814199,9.16524990641826,0.00684544673049766,-0.997598502718501,-0.211669068710071,2.92029171428571,3.5249255,0,two.sided,Welch Two Sample t-test,0.675445034777526
MIR23AHG,SeverAD,Control,7,8,1.44819539394188,3.31955632151444,10.9617613867897,0.00686771888985691,0.17987433886771,0.888638195882291,5.78690148,5.252645212625,0,two.sided,Welch Two Sample t-test,0.675445034777526
ANKRD42-DT,SeverAD,Control,7,8,1.51153381048152,3.46269306854006,9.20407412696194,0.00689409661194399,0.20795331753706,0.984073182462939,3.194545,2.59853175,0,two.sided,Welch Two Sample t-test,0.675445034777526
THBS3,SeverAD,Control,7,8,1.40345400706665,3.2695920743111,11.6993225546262,0.00691983226477926,0.162199565819358,0.815764005609213,3.97994628571429,3.4909645,0,two.sided,Welch Two Sample t-test,0.675445034777526
